layer,seed,id,length_bucket,distractor_level,seq_len,max_token_prob,second_max_token_prob,num_tokens_above_threshold,diagnostic_threshold
20,0,test_16384_4_000087,16384,4,16102,1.0,1.0,20,0.9
20,0,test_16384_8_000092,16384,8,16090,1.0,1.0,26,0.9
20,0,test_16384_8_000093,16384,8,16094,1.0,1.0,25,0.9
20,0,test_16384_8_000094,16384,8,16067,1.0,1.0,14,0.9
20,0,test_16384_8_000095,16384,8,16083,1.0,1.0,22,0.9
24,0,test_2048_0_000004,2048,0,2022,1.0,0.9999885559082031,2,0.9
24,0,test_2048_0_000005,2048,0,2059,1.2259160353522702e-10,9.825801739089812e-14,0,0.9
24,0,test_2048_0_000006,2048,0,2038,1.0,1.0,2,0.9
24,0,test_2048_0_000007,2048,0,2027,1.0,3.778386024766198e-36,1,0.9
24,0,test_2048_1_000012,2048,1,2030,1.0,0.8704224228858948,1,0.9
24,0,test_2048_1_000013,2048,1,2030,1.0,0.21073532104492188,1,0.9
24,0,test_2048_1_000014,2048,1,2044,1.0,1.0,6,0.9
24,0,test_2048_1_000015,2048,1,2008,1.0,0.14840511977672577,1,0.9
24,0,test_2048_4_000020,2048,4,2013,1.0,1.0,3,0.9
24,0,test_2048_4_000021,2048,4,2029,1.0,1.0,4,0.9
24,0,test_2048_4_000022,2048,4,2054,1.0,1.0,15,0.9
24,0,test_2048_4_000023,2048,4,2052,1.0,1.0,5,0.9
24,0,test_2048_8_000028,2048,8,2042,1.0,1.0,5,0.9
24,0,test_2048_8_000029,2048,8,2039,1.0,1.0,3,0.9
24,0,test_2048_8_000030,2048,8,2019,0.9998397827148438,0.17906810343265533,1,0.9
24,0,test_2048_8_000031,2048,8,2023,1.0,1.0,11,0.9
24,0,test_8192_0_000036,8192,0,8035,1.0,0.9995561242103577,3,0.9
24,0,test_8192_0_000037,8192,0,8052,1.0,0.9944044351577759,2,0.9
24,0,test_8192_0_000038,8192,0,8066,4.0108198545595237e-16,0.0,0,0.9
24,0,test_8192_0_000039,8192,0,8057,0.9999947547912598,7.610803287381981e-28,1,0.9
24,0,test_8192_1_000044,8192,1,8064,0.9999744892120361,1.7979223230213393e-06,1,0.9
24,0,test_8192_1_000045,8192,1,8080,0.998565137386322,6.069036332052514e-30,1,0.9
24,0,test_8192_1_000046,8192,1,8036,1.0,3.946060810845033e-17,1,0.9
24,0,test_8192_1_000047,8192,1,8070,1.0,1.0,5,0.9
24,0,test_8192_4_000052,8192,4,8075,1.0,1.0,5,0.9
24,0,test_8192_4_000053,8192,4,8075,1.0,1.0,7,0.9
24,0,test_8192_4_000054,8192,4,8042,1.0,1.0,5,0.9
24,0,test_8192_4_000055,8192,4,8074,0.9994469285011292,5.326655920917247e-19,1,0.9
24,0,test_8192_8_000060,8192,8,8045,1.0,0.9983735084533691,2,0.9
24,0,test_8192_8_000061,8192,8,8075,1.0,1.0,7,0.9
24,0,test_8192_8_000062,8192,8,8052,1.0,1.0,10,0.9
24,0,test_8192_8_000063,8192,8,8066,1.0,1.0,5,0.9
24,0,test_16384_0_000068,16384,0,16058,9.736059275954577e-16,2.572398300772234e-24,0,0.9
24,0,test_16384_0_000069,16384,0,16086,8.686567412041768e-07,1.1134460464745644e-08,0,0.9
